codcar,carrera
1120,Diplomatura en Neurociencias en el Deporte
1121,DIPLOMATURA JUSTICIA JUVENIL
1111,Diplomatura en Gestión Integral de Residuos en Establecimientos de Salud
354,Especialización en Formulación de Proyectos de Gestión del Patrimonio Territorial
1119,Taller Física Primaria: Haciendo Ciencia desde Abajo
1122,Diplomatura en Marketing Digital
1124,Curso en Neuromanagment y Neuroliderazgo
1123,Diplomatura en Pensamiento Social de la Iglesia en Diálogo con la Bioética
1126,Curso Fotografia Forense en la Escena del Crimen
1128,Diplomatura Universitaria en Cibercrimen
1131,Diplomatura en Organizaciones de la Sociedad Civil
1130,Curso Intensivo de Coreano
359,Maestría en Intervención e Investigación Social y Comunitaria
1135,Curso Intensivo de Italiano
1136,Curso de Preparación en BEC
1063,Estrategias De Confiabilidad Y Mantenibilidad
1064,Monitoreo de Condición - Técnicas Predictivas
1137,Diplomatura en Museología y Curaduría
1140,Diplomatura Universitaria Internacional de Endocrinología en pequeños animales
1138,Diplomatura Universitaria en Composición de Música para Cine
1141,Diplomatura Universitaria en Acompañamiento de matrimonios en crisis
1143,Psicopedagogía en salud con orientación en neurodesarrollo y aprendizaje
1145,Curso de posgrado en Filosofía Contemporánea
1142,Programa de Formación en Metodologías de Investigación Social
1144,Herramientas para la Prevención de la pornografía en NNA
1146,Diplomatura Universitaria en Gestión Integrada de Fronteras
1148,"Seminario Universitario en Juego, Educación y Emoción"
1147,Curso Neurociencias y Derecho de Daños
1065,Administración de Inventarios
1150,La Cultura Agile
1151,"Seminario Análisis institucional, Discurso y Poder"
1152,Seminario Subjetividad Intersubjetividad y lo Social
1153,Centralidad y misión de la escuela en la prevención de abusos a NNyA
845,Diplomatura en Derecho Administrativo Profundizado
1154,Diplomatura en Administración y Gestión Pública
1155,Diplomatura Universitaria en Inteligencia de Marketing
1159,Capacitación en ESI para Catequistas y Agentes Pastorales. Nivel II
1160,IMPLEMENTACIÓN BIM
1162,Taller de Filosofía y Cultura Geek/Pop. Cómics. Series. Películas
1066,Indicadores de Desempeño y de Costos
1163,Curso de posgrado en filosofía contemporánea: “Jacques Derrida – La filosofía en deconstrucción”
1165,Curso Modelación Hidrológica con HEC HMS
1205,Curso Orientación Vocacional como proceso de aprendizaje
1168,Diseño de Iluminación Exterior y Pública
361,Licenciatura en Criminología - Ciclo de Complementación Curricular
1067,Evaluación Tecnico-Economica de proyectos. Costos del Ciclo de Vida
1167,ENVOLVENTES E INFRAESTRUCTURAS VERDES. DISEÑO Y ESTUDIO DE TECNOLOGÍAS
1200,Licenciatura en Kinesiología y Fisioterapia
1201,Licenciatura en Terapia Ocupacional
1202,Licenciatura en Fonoaudiología
1203,Tecnicatura Universitaria en Podología
